Model,Dataset,num_layers,L2,Emb_size,HR@5,HR@10,HR@20,HR@50,NDCG@5,NDCG@10,NDCG@20,NDCG@50
SASRec,ml,1,1e-6,32,0.7025,0.8075,0.8886,0.9745,0.5447,0.5787,0.5994,0.6166
SASRec,ml,1,1e-6,64,0.6993,0.8058,0.8897,0.9720,0.5472,0.5819,0.6032,0.6196
SASRec,ml,1,1e-6,128,0.7081,0.8124,0.8957,0.9727,0.5564,0.5903,0.6115,0.6269
SASRec,ml,1,1e-6,256,0.7055,0.8093,0.8887,0.9690,0.5552,0.5891,0.6093,0.6254
SASRec,ml,2,1e-6,32,0.7123,0.8157,0.8969,0.9743,0.5513,0.5850,0.6057,0.6212
SASRec,ml,2,1e-6,64,0.7108,0.8147,0.8952,0.9753,0.5591,0.5929,0.6133,0.6293
SASRec,ml,2,1e-6,128,0.7134,0.8175,0.8942,0.9763,0.5656,0.5995,0.6190,0.6354
SASRec,ml,2,1e-6,256,0.7233,0.8169,0.8916,0.9709,0.5719,0.6022,0.6212,0.6370
SASRec,ml,1,1e-5,32,0.6995,0.8076,0.8929,0.9750,0.5449,0.5802,0.6018,0.6183
SASRec,ml,1,1e-5,64,0.7078,0.8142,0.8914,0.9733,0.5559,0.5905,0.6101,0.6264
SASRec,ml,1,1e-5,128,0.7111,0.8169,0.8952,0.9733,0.5582,0.5926,0.6125,0.6282
SASRec,ml,1,1e-5,256,0.7083,0.8159,0.8907,0.9682,0.5574,0.5925,0.6115,0.6270
SASRec,ml,2,1e-5,32,0.7116,0.8152,0.8975,0.9742,0.5535,0.5873,0.6083,0.6237
SASRec,ml,2,1e-5,64,0.7159,0.8161,0.8975,0.9714,0.5613,0.5938,0.6144,0.6292
SASRec,ml,2,1e-5,128,0.7139,0.8202,0.8967,0.9750,0.5686,0.6032,0.6226,0.6383
SASRec,ml,2,1e-5,256,0.7247,0.8220,0.8904,0.9740,0.5706,0.6020,0.6194,0.6362
SASRec,ml,1,1e-4,32,0.6947,0.8078,0.8917,0.9732,0.5321,0.5689,0.5903,0.6066
